GPK,ATC,MainGroup,SubGroup,Generic,Product,Label,Shape,Routes,Concentration,Unit,Multiple,MultipeUnit,Indications,HasSolution,InStock
67040,S01CA01,MIDDELEN VOOR OOGHEELKUNDIG GEBRUIK,ANTI-INFLAMMATOIRE MIDDELEN MET ANTIMICROBIELE MIDDELEN,dexamethason+gentamicine,DEXAMYTREX OOGDRUPPELS 5 ML,DEXAM/GENTAMICINE OOGDR,oogdruppels,oog,1,mg/ml,1,dr,Ooginfecties, ,x
67059,S01CA01,MIDDELEN VOOR OOGHEELKUNDIG GEBRUIK,ANTI-INFLAMMATOIRE MIDDELEN MET ANTIMICROBIELE MIDDELEN,dexamethason+gentamicine,DEXAMYTREX OOGZALF 3G,DEXAM/GENTAMICINE OOGZALF,oogzalf,oog,3,mg/gr,1,keer,Ooginfecties, ,x
86614,S01CA01,MIDDELEN VOOR OOGHEELKUNDIG GEBRUIK,ANTI-INFLAMMATOIRE MIDDELEN MET ANTIMICROBIELE MIDDELEN,dexamethason+tobramycine,TOBRADEX OOGDRUPPELS 5ML,DEXAM/TOBRAMYCINE OOGDRUPP,oogdruppels,oog,1,mg/ml,1,dr,Ooginfecties, ,x
86622,S01CA01,MIDDELEN VOOR OOGHEELKUNDIG GEBRUIK,ANTI-INFLAMMATOIRE MIDDELEN MET ANTIMICROBIELE MIDDELEN,dexamethason+tobramycine,TOBRADEX OOGZALF 3.5G,DEXAM/TOBRAMYCINE OOGZALF,oogzalf,oog,1,mg/gr,1,keer,Ooginfecties, ,x
23175,N06BA02,PSYCHOANALEPTICA,"PSYCHOSTIMULANTIA, MIDDELEN VOOR ADHD EN NOOTROPICA",dexamfetamine,AMFEXA 5 MG TABLET,DEXAMFETAMINE 5MG TABLET,tablet,or,5,mg/stuk,2.5,mg,Attention Deficit Hyperactivity Disorder (ADHD), ,x
97306,S01XA20,MIDDELEN VOOR OOGHEELKUNDIG GEBRUIK,OVERIGE MIDDELEN VOOR OOGHEELKUNDIG GEBRUIK,dextran-70+hypromellose,DURATEARS OOGDRUPPELS 15ML,DEXTRAN70/HYPROMELLOSE OOGD,oogdruppels,oog,1,mg/ml,1,dr,Verminderde traansecretie/uitdroging, ,x
110418,R05DA09,HOEST- EN VERKOUDHEIDSMIDDELEN,"HOESTPRIKKELDEMP.MIDD., EXCL COMB.PREP. MET EXPECTORANTIA",dextromethorfan,"DEXTROMETHORFAN 1,5 MG/ML DRANK","DEXTROMETHORFAN 1,5MG/ML DR",drank,or,1.5,mg/ml,0.15,mg,Hoest, ,x
1961,N05BA01,PSYCHOLEPTICA,ANXIOLYTICA,diazePAM,DIAZEPAM 5 MG/ML AMPUL 2 ML,DIAZEPAM 5MG/ML INJVLST,injectievloeistof,im||iv,5,mg/ml,0.5,mg,Status epilepticus||Koortsconvulsies||Verslapping van skeletspieren||Acute angsten (kort gebruik), ,x
20591,N05BA01,PSYCHOLEPTICA,ANXIOLYTICA,diazePAM,DIAZEPAM 5 MG REKTIOLE,DIAZEPAM 2MG/ML KLYSMA,klysma,rect,2,mg/ml,2,mg,Status epilepticus||Koortsconvulsies||Verslapping van skeletspieren||Acute angsten (kort gebruik), ,x
20605,N05BA01,PSYCHOLEPTICA,ANXIOLYTICA,diazePAM,DIAZEPAM 10 MG REKTIOLE,DIAZEPAM 4MG/ML KLYSMA,klysma,rect,4,mg/ml,4,mg,Status epilepticus||Koortsconvulsies||Verslapping van skeletspieren||Acute angsten (kort gebruik), ,x
20656,N05BA01,PSYCHOLEPTICA,ANXIOLYTICA,diazePAM,DIAZEPAM 2 MG TABLET,DIAZEPAM 2MG TABLET,tablet,or,2,mg/stuk,2,mg,Status epilepticus||Koortsconvulsies||Verslapping van skeletspieren||Acute angsten (kort gebruik), ,x
20664,N05BA01,PSYCHOLEPTICA,ANXIOLYTICA,diazePAM,DIAZEPAM 5 MG TABLET,DIAZEPAM 5MG TABLET,tablet,or,5,mg/stuk,2.5,mg,Status epilepticus||Koortsconvulsies||Verslapping van skeletspieren||Acute angsten (kort gebruik), ,x
20672,N05BA01,PSYCHOLEPTICA,ANXIOLYTICA,diazePAM,DIAZEPAM 10 MG TABLET,DIAZEPAM 10MG TABLET,tablet,or,10,mg/stuk,5,mg,Status epilepticus||Koortsconvulsies||Verslapping van skeletspieren||Acute angsten (kort gebruik), ,x
10278,V03AH01,ALLE OVERIGE THERAPEUTISCHE MIDDELEN,ALLE OVERIGE THERAPEUTISCHE MIDDELEN,diazoxide,PROGLICEM 100MG CAPSULE,DIAZOXIDE 100MG CAPSULE,capsule,or,100,mg/stuk,100,mg,Congenitaal hyperinsulinisme, ,x
112852,M01AB05,ANTI-INFLAMMATOIRE EN ANTIREUMATISCHE MIDDELEN,NIET-STEROIDE ANTI-INFLAMMATOIRE EN ANTIREUMATISCHE MIDD.,diclofenac,VOLTAREN 25 MG/ML AMPUL 3ML,DICLOFENAC-NA 25MG/ML INJVL,injectievloeistof,im||iv,25,mg/ml,2.5,mg,"Pijnbestrijding||Pijn, ontstekingsactiviteit en koorts bij Juveniele Idiopatische Arthritis (JIA)", ,x
22276,M01AB05,ANTI-INFLAMMATOIRE EN ANTIREUMATISCHE MIDDELEN,NIET-STEROIDE ANTI-INFLAMMATOIRE EN ANTIREUMATISCHE MIDD.,diclofenac,DICLOFENAC 25 MG TABLET MSR,DICLOFENAC-NA 25MG TAB MSR,maagsapresistente tablet,or,25,mg/stuk,25,mg,"Pijnbestrijding||Pijn, ontstekingsactiviteit en koorts bij Juveniele Idiopatische Arthritis (JIA)", ,x
22284,M01AB05,ANTI-INFLAMMATOIRE EN ANTIREUMATISCHE MIDDELEN,NIET-STEROIDE ANTI-INFLAMMATOIRE EN ANTIREUMATISCHE MIDD.,diclofenac,DICLOFENAC 50 MG TABLET MSR,DICLOFENAC-NA 50MG TAB MSR,maagsapresistente tablet,or,50,mg/stuk,50,mg,"Pijnbestrijding||Pijn, ontstekingsactiviteit en koorts bij Juveniele Idiopatische Arthritis (JIA)", ,x
117439,M01AB05,ANTI-INFLAMMATOIRE EN ANTIREUMATISCHE MIDDELEN,NIET-STEROIDE ANTI-INFLAMMATOIRE EN ANTIREUMATISCHE MIDD.,diclofenac,VOLTAREN K 12.5 MG TABLET OMHULD,"DICLOFENAC-K 12,5MG TAB OMH",omhulde tablet,or,12.5,mg/stuk,12.5,mg,"Pijnbestrijding||Pijn, ontstekingsactiviteit en koorts bij Juveniele Idiopatische Arthritis (JIA)", ,x
87041,M01AB05,ANTI-INFLAMMATOIRE EN ANTIREUMATISCHE MIDDELEN,NIET-STEROIDE ANTI-INFLAMMATOIRE EN ANTIREUMATISCHE MIDD.,diclofenac,DICLOFENAC 75 MG TABLET MGA (RETARD),DICLOFENAC-NA 75MG TABL MGA,tablet met gereguleerde afgifte,or,75,mg/stuk,75,mg,"Pijnbestrijding||Pijn, ontstekingsactiviteit en koorts bij Juveniele Idiopatische Arthritis (JIA)", ,x
22268,M01AB05,ANTI-INFLAMMATOIRE EN ANTIREUMATISCHE MIDDELEN,NIET-STEROIDE ANTI-INFLAMMATOIRE EN ANTIREUMATISCHE MIDD.,diclofenac,DICLOFENAC 100 MG TABLET MGA (RETARD),DICLOFENAC-NA 100MG TAB MGA,tablet met gereguleerde afgifte,or,100,mg/stuk,100,mg,"Pijnbestrijding||Pijn, ontstekingsactiviteit en koorts bij Juveniele Idiopatische Arthritis (JIA)", ,x
56766,M01AB05,ANTI-INFLAMMATOIRE EN ANTIREUMATISCHE MIDDELEN,NIET-STEROIDE ANTI-INFLAMMATOIRE EN ANTIREUMATISCHE MIDD.,diclofenac,"DICLOFENAC 12,5 MG ZETPIL","DICLOFENAC-NA 12,5MG ZETPIL",zetpil,rect,12.5,mg/stuk,12.5,mg,"Pijnbestrijding||Pijn, ontstekingsactiviteit en koorts bij Juveniele Idiopatische Arthritis (JIA)", ,x
40258,M01AB05,ANTI-INFLAMMATOIRE EN ANTIREUMATISCHE MIDDELEN,NIET-STEROIDE ANTI-INFLAMMATOIRE EN ANTIREUMATISCHE MIDD.,diclofenac,DICLOFENAC 25 MG ZETPIL,DICLOFENAC-NA 25MG ZETPIL,zetpil,rect,25,mg/stuk,25,mg,"Pijnbestrijding||Pijn, ontstekingsactiviteit en koorts bij Juveniele Idiopatische Arthritis (JIA)", ,x
40266,M01AB05,ANTI-INFLAMMATOIRE EN ANTIREUMATISCHE MIDDELEN,NIET-STEROIDE ANTI-INFLAMMATOIRE EN ANTIREUMATISCHE MIDD.,diclofenac,DICLOFENAC 50 MG ZETPIL,DICLOFENAC-NA 50MG ZETPIL,zetpil,rect,50,mg/stuk,50,mg,"Pijnbestrijding||Pijn, ontstekingsactiviteit en koorts bij Juveniele Idiopatische Arthritis (JIA)", ,x
22292,M01AB05,ANTI-INFLAMMATOIRE EN ANTIREUMATISCHE MIDDELEN,NIET-STEROIDE ANTI-INFLAMMATOIRE EN ANTIREUMATISCHE MIDD.,diclofenac,DICLOFENAC100 MG ZETPIL,DICLOFENAC-NA 100MG ZETPIL,zetpil,rect,100,mg/stuk,100,mg,"Pijnbestrijding||Pijn, ontstekingsactiviteit en koorts bij Juveniele Idiopatische Arthritis (JIA)", ,x
111937,J05AF02,ANTIVIRALE MIDDELEN VOOR SYSTEMISCH GEBRUIK,DIRECT WERKENDE ANTIVIRALE MIDDELEN,didanosine,VIDEX EC 125 MG CAPSULE MSR,DIDANOSINE 125MG CAPS MSR,maagsapresistente capsule,or,125,mg/stuk,125,mg,HIV, ,x
111910,J05AF02,ANTIVIRALE MIDDELEN VOOR SYSTEMISCH GEBRUIK,DIRECT WERKENDE ANTIVIRALE MIDDELEN,didanosine,VIDEX EC 250 MG CAPSULE MSR,DIDANOSINE 250MG CAPS MSR,maagsapresistente capsule,or,250,mg/stuk,250,mg,HIV, ,x
111902,J05AF02,ANTIVIRALE MIDDELEN VOOR SYSTEMISCH GEBRUIK,DIRECT WERKENDE ANTIVIRALE MIDDELEN,didanosine,VIDEX EC 400 MG CAPSULE MSR,DIDANOSINE 400MG CAPS MSR,maagsapresistente capsule,or,400,mg/stuk,400,mg,HIV, ,x
16764,C01AA05,CARDIACA,HARTGLYCOSIDEN,digoxine,LANOXIN PG 50 MICROGRAM/ML ELIXIR 60ML,"DIGOXINE 0,05MG/ML DRANK",drank,or,0.05,mg/ml,5,mcg,Supraventriculaire ritmestoornissen en decompensatio cordis, ,x
6238,C01AA05,CARDIACA,HARTGLYCOSIDEN,digoxine,"LANOXIN 0,25 MG/ML AMP 2 ML","DIGOXINE 0,25MG/ML INJVLST",injectievloeistof,iv,0.25,mg/ml,25,mcg,Supraventriculaire ritmestoornissen en decompensatio cordis, ,x
38857,C01AA05,CARDIACA,HARTGLYCOSIDEN,digoxine,LANOXIN 125 MICROGRAM TABLET,"DIGOXINE 0,125MG TABLET",tablet,or,0.125,mg/stuk,0.125,mg,Supraventriculaire ritmestoornissen en decompensatio cordis, ,x
16721,C01AA05,CARDIACA,HARTGLYCOSIDEN,digoxine,LANOXIN 250 MICROGRAM TABLET,"DIGOXINE 0,25MG TABLET",tablet,or,0.25,mg/stuk,0.25,mg,Supraventriculaire ritmestoornissen en decompensatio cordis, ,x
16772,C01AA05,CARDIACA,HARTGLYCOSIDEN,digoxine,"LANOXIN PG  62,5 MICROGRAM TABLET","DIGOXINE 62,5UG TABLET",tablet,or,62.5,mcg/stuk,62.5,mcg,Supraventriculaire ritmestoornissen en decompensatio cordis, ,x
120693,M02AX03,LOKALE ANTIRHEUMATICA,LOKALE ANTIRHEUMATICA,dimethylsulfoxide,DMSO 50% creme 500mg/g 50gram,DIMETHYLSULFOXIDE 500MG/G C,creme,cutaan,500,mg/gr,1,keer,Extravasatie cytostatica, ,x
15318,R06AB03,ANTIHISTAMINICA VOOR SYSTEMISCH GEBRUIK,ANTIHISTAMINICA VOOR SYSTEMISCH GEBRUIK,dimetindeen,FENISTIL 1 MG/ML DRUPPELS,DIMETINDEEN 1MG/ML DRUPPELS,druppels voor oraal gebruik,or,1,mg/ml,1,mg,Allergische aandoeningen, ,x
121509,J07CA09,VACCINS,BACTERIELE VACCINS MET VIRALE VACCINS,dktp-hib-hepb-vaccin,"INFANRIX HEXA 0,5ML (DKTP + HIB + HEPB)",DKTP-HIB-HEPB VACCIN,suspensie voor injectie,im,60,IE/ml,60,IE,"RIJKSVACCINATIE PROGRAMMA DKTP-HiB-HepB (Difterie, Kinkhoest, Tetanus, Poliomyelitis, hepatitis B en infecties veroorzaakt door Haemophilus influenzae type B.)", ,x
129429,J07CA02,VACCINS,BACTERIELE VACCINS MET VIRALE VACCINS,dktp-vaccin,"BOOSTRIX POLIO WWSP 0,5 ML",DKTP VACCIN (BOOSTRIX POLI),suspensie voor injectie,im,4,IE/ml,4,IE,RIJKSVACCINATIEPROGRAMMA Boostervaccinatie DKTP, ,x
97713,C01CA07,CARDIACA,"HARTSTIMULANTIA, EXCLUSIEF HARTGLYCOSIDEN",DOBUTamine,DOBUTAMINE 12.5 MG/ML AMPUL 20ML,"DOBUTAMINE 12,5MG/ML INFCON",concentraat voor oplossing voor infusie,iv,12.5,mg/ml,12.5,mg,Cardiogene shock en decompensatio cordis, ,x
111414,C01CA07,CARDIACA,"HARTSTIMULANTIA, EXCLUSIEF HARTGLYCOSIDEN",DOBUTamine,DOBUTAMINE 5 MG/ML FLACON 50 ML,DOBUTAMINE 5MG/ML INFVLST,infusievloeistof,iv,5,mg/ml,5,mg,Cardiogene shock en decompensatio cordis, ,x
133353,L01CD02,ONCOLYTICA,ALKALOIDEN EN OVERIGE NATUURLIJKE PRODUCTEN,DOCEtaxel,DOCETAXEL 20 MG = 1 ML INFVLST CONC,DOCETAXEL 20MG/ML INF CONC,concentraat voor oplossing voor infusie,iv,20,mg/ml,20,mg,"Ewing-sarcoom, osteosarcoom en andere recidieverende/refractaire solide tumoren", ,x
81906,A06AG10,MIDDELEN BIJ OBSTIPATIE,MIDDELEN BIJ OBSTIPATIE,docusinezuur,NORGALAX 12MG/G KLYSMA,DOCUSINEZUUR 12MG/G KLYSMA,klysma,rect,12,mg/gr,12,mg,Obstipatie, ,x
6165,A06AG10,MIDDELEN BIJ OBSTIPATIE,MIDDELEN BIJ OBSTIPATIE,docusinezuur+sorbitol,KLYX KLYSMA,DOCUSINEZUURSORBITOL KLYSMA,klysma,rect,250,mg/ml,250,mg,Obstipatie, ,x
150231,J05AX12,ANTIVIRALE MIDDELEN VOOR SYSTEMISCH GEBRUIK,DIRECT WERKENDE ANTIVIRALE MIDDELEN,dolutegravir,TIVICAY 50 MG TABLET,DOLUTEGRAVIR 50MG TABLET,tablet,or,50,mg/stuk,50,mg,HIV, ,x
165603,J05AR13,ANTIVIRALE MIDDELEN VOOR SYSTEMISCH GEBRUIK,DIRECT WERKENDE ANTIVIRALE MIDDELEN,dolutegravir+abacavir+lamivudine,TRIUMEQ  TABLET (50/600/300MG),DOLU/ABA/LAM T 50/600/300MG,tablet,or,300,mg/stuk,1,stuk,HIV, ,x
74179,A03FA03,MIDDELEN BIJ FUNCTIONELE MAAGDARMSTOORNISSEN,MOTILITEITSBEVORDERENDE MIDDELEN,domperidon,MOTILIUM 1 MG/ML SUSPENSIE 200ML,DOMPERIDON 1MG/ML SUSPENSIE,suspensie voor oraal gebruik,or,1,mg/ml,1,mg,"Gastro-oesofageale reflux ||Ernstige misselijkheid en braken, bijvoorbeeld bij oncologische aandoeningen (niet effectief bij braken met een cerebrale oorsprong)", ,x
69159,A03FA03,MIDDELEN BIJ FUNCTIONELE MAAGDARMSTOORNISSEN,MOTILITEITSBEVORDERENDE MIDDELEN,domperidon,DOMPERIDON 10 MG TABLET,DOMPERIDON 10MG TABLET,tablet,or,10,mg/stuk,10,mg,"Gastro-oesofageale reflux ||Ernstige misselijkheid en braken, bijvoorbeeld bij oncologische aandoeningen (niet effectief bij braken met een cerebrale oorsprong)", ,x
16438,C01CA04,CARDIACA,"HARTSTIMULANTIA, EXCLUSIEF HARTGLYCOSIDEN",DOPamine,DOPAMINE 40 MG/ML INFVLST AMPUL 5ML,DOPAMINE 40MG/ML INF CONC,concentraat voor oplossing voor infusie,iv,40,mg/ml,40,mg,Toename nierperfusie||Hypotensie/verhogen hartminuutvolume, ,x
92835,R05CB13,HOEST- EN VERKOUDHEIDSMIDDELEN,"EXPECTORANTIA, EXCL COMB.PREP. MET HOESTPRIKKELDEMP.MIDD.",dornase,PULMOZYME 1 MG/ML AMPUL 2.5ML  INHVLST,DORNASE 1MG/ML VERNEVELVLST,vernevelvloeistof,inh,1,mg/ml,1,mg,Cystic Fibrosis, ,x
95575,S01EC03,MIDDELEN VOOR OOGHEELKUNDIG GEBRUIK,GLAUCOOMMIDDELEN EN MIOTICA,dorzolamide,DORZOLAMIDE 20MG/ML OOGDRUPPELS FLACON 5ML,DORZOLAMIDE 20MG/ML OOGDR,oogdruppels,oog,20,mg/ml,1,dr,Glaucoom, ,x
105430,S01ED51,MIDDELEN VOOR OOGHEELKUNDIG GEBRUIK,GLAUCOOMMIDDELEN EN MIOTICA,dorzolamide+timolol,COSOPT OOGDRUPPELS FLACON 5ML,TIMOLOL/DORZOLAMIDE OOGDRUPPELS 5/20MG/ML,oogdruppels,oog,1,dr,1,dr,Glaucoom, ,x
90105430,S01ED51,MIDDELEN VOOR OOGHEELKUNDIG GEBRUIK,GLAUCOOMMIDDELEN EN MIOTICA,dorzolamide+timolol,"COSOPT CONSERVEERMIDDELVRIJ OOGDRUPPELS FLAC 0,2ML",TIMOLOL/DORZOLAMIDE OOGDRUPPELS 5/20MG/ML,oogdruppels,oog,1,dr,1,dr,Glaucoom, ,x
93416,R07AB01,OVERIGE MIDDELEN VOOR HET ADEMHALINGSSTELSEL,OVERIGE MIDDELEN VOOR HET ADEMHALINGSSTELSEL,doxapram,DOPRAM 2 MG/ML INFUSIEZAK 500ML,DOXAPRAM 2MG/ML INFVLST,infusievloeistof,iv||or,2,mg/ml,2,mg,Idiopathische apnoe (niet reagerend op maximale coffeïne), ,x
108995,C02CA04,ANTIHYPERTENSIVA,ALFABLOKKERS,doxazosine,DOXAZOSINE 4 MG TABLET MVA (RETARD),DOXAZOSINE 4MG TABLET MGA,tablet,or,4,mg/stuk,4,mg,Hypertensie, ,x
154156,L01DB01,ONCOLYTICA,CYTOTOXISCHE ANTIBIOTICA  EN VERWANTE VERBINDINGEN,DOXOrubicine,CAELYX 20 MG = 10 ML FLACON,DOXORUBICINE 2MG/ML INFOPL,concentraat voor oplossing voor infusie,iv,2,mg/ml,2,mg,Oncologische aandoeningen, ,x
81302,L01DB01,ONCOLYTICA,CYTOTOXISCHE ANTIBIOTICA  EN VERWANTE VERBINDINGEN,DOXOrubicine,DOXORUBICINE HCL 10 MG = 5 ML  INFVLST CONC,DOXORUBICINE 2MG/ML INJVLST,injectievloeistof,iv||intravesic,2,mg/ml,2,mg,Oncologische aandoeningen, ,x
2089,J01AA02,ANTIBACTERIELE MIDDELEN VOOR SYSTEMISCH GEBRUIK,TETRACYCLINES,doxycycline,VIBRAMYCIN SF 20MG/ML AMPUL 5ML,DOXYCYCLINE 20MG/ML INJVLST,injectievloeistof,iv,20,mg/ml,2,mg,"Infecties||Ernstige infecties||Infecties bij Cystic Fibrosis||Vroege gelokaliseerde, gedissemineerde en late lymeziekte||Profylaxe na een tekenbeet||Behandeling malaria tropica||Profylaxe malaria", ,x
117048,J01AA02,ANTIBACTERIELE MIDDELEN VOOR SYSTEMISCH GEBRUIK,TETRACYCLINES,doxycycline,DOXYCYCLINE 100 MG DISPER TABLET,DOXYCYCLINE 100MG DISPERTAB,tablet,or,100,mg/stuk,100,mg,"Infecties||Ernstige infecties||Infecties bij Cystic Fibrosis||Vroege gelokaliseerde, gedissemineerde en late lymeziekte||Profylaxe na een tekenbeet||Behandeling malaria tropica||Profylaxe malaria", ,x
116602,J07CA01,VACCINS,BACTERIELE VACCINS MET VIRALE VACCINS,dtp-vaccin,"REVAXIS WWSP 0,5 ML",DTP VACCIN (REVAXIS),suspensie voor injectie,im,4,IE/ml,4,IE,RIJKSVACCINATIEPROGRAMMA DTP (Difterie-Tetanus-Polio )||Primaire immunisatie, ,x
123005,J07CA01,VACCINS,BACTERIELE VACCINS MET VIRALE VACCINS,dtp-vaccin,DTP    VACCIN RIVM WEGWERPSPUIT 1ML,DTP VACCIN (NVI),suspensie voor injectie,im,5,IE/ml,5,IE,RIJKSVACCINATIEPROGRAMMA DTP (Difterie-Tetanus-Polio )||Primaire immunisatie, ,x
124419,N06AX21,PSYCHOANALEPTICA,ANTIDEPRESSIVA,DULoxetine,CYMBALTA 30 MG CAPSULE MSR,DULOXETINE CAPSULE MSR 30MG,capsule,or,30,mg/stuk,30,mg,Angststoornissen||Bipolaire stoornis||Depressie||Neuropathische pijn, ,x
114855,J05AG03,ANTIVIRALE MIDDELEN VOOR SYSTEMISCH GEBRUIK,DIRECT WERKENDE ANTIVIRALE MIDDELEN,efavirenz,STOCRIN 30 MG/ML DRANK 180ML,EFAVIRENZ 30MG/ML DRANK,drank,or,30,mg/ml,3,mg,HIV, ,x
128198,J05AG03,ANTIVIRALE MIDDELEN VOOR SYSTEMISCH GEBRUIK,DIRECT WERKENDE ANTIVIRALE MIDDELEN,efavirenz,STOCRIN 50 MG TABLET FILMOMHULD,EFAVIRENZ 50MG TABLET FO,filmomhulde tablet,or,50,mg/stuk,50,mg,HIV, ,x
128333,J05AG03,ANTIVIRALE MIDDELEN VOOR SYSTEMISCH GEBRUIK,DIRECT WERKENDE ANTIVIRALE MIDDELEN,efavirenz,STOCRIN 200 MG TABLET FILMOMHULD,EFAVIRENZ 200MG TABLET FO,filmomhulde tablet,or,200,mg/stuk,200,mg,HIV, ,x
115975,J05AG03,ANTIVIRALE MIDDELEN VOOR SYSTEMISCH GEBRUIK,DIRECT WERKENDE ANTIVIRALE MIDDELEN,efavirenz,STOCRIN 600 MG TABLET FILMOMHULD,EFAVIRENZ 600MG TABLET FO,filmomhulde tablet,or,600,mg/stuk,600,mg,HIV, ,x
162620,B02BD04,ANTIHAEMORRHAGICA,VITAMINE K EN OVERIGE HAEMOSTATICA,eftrenonacog-alfa,ALPROLIX 250 IE  INJPDR + SOLVENS 5ML + TOEBEHOREN,EFTRENONACOG ALF 250IE INJ,poeder voor injectievloeistof,iv,250,IE/stuk,250,IE,"LICHTE BLOEDING (beginnende haemarthros, neus- en tandvleesbloedingen, hematurie)||ERNSTIGE BLOEDING (Ernstige gewrichtsbloeding met bewegingsbeperking, spierbloedingen in boven- en onderarmen, kuit en m.iliopsas en ernstig trauma zonder manifeste bloeding)||LEVENSBEDREIGENDE BLOEDING (schedeltrauma, bloeding van de tractus digestivus, buiktrauma, bloeding met bedreiging van de luchtweg)||LICHT SCHEDELTRAUMA ( Val van <50 cm hoogte, lichte klap tegen het hoofd)||MATIG ERNSTIG SCHEDELTRAUMA ( Val van >50 cm hoogte/trap, forse klap tegen het hoofd)||ERNSTIG SCHEDELTRAUMA (Commotio of contusio cerebri)||INTRACRANIELE BLOEDING||Substitutiebehandeling bij ingrepen bij matig ernstige tot ernstige hemofilie||Profylaxe bloedingen", ,x
162639,B02BD04,ANTIHAEMORRHAGICA,VITAMINE K EN OVERIGE HAEMOSTATICA,eftrenonacog-alfa,ALPROLIX 500 IE INJPDR + SOLVENS 5ML + TOEBEHOREN,EFTRENONACOG ALF 500IE INJ,poeder voor injectievloeistof,iv,500,IE/stuk,500,IE,"LICHTE BLOEDING (beginnende haemarthros, neus- en tandvleesbloedingen, hematurie)||ERNSTIGE BLOEDING (Ernstige gewrichtsbloeding met bewegingsbeperking, spierbloedingen in boven- en onderarmen, kuit en m.iliopsas en ernstig trauma zonder manifeste bloeding)||LEVENSBEDREIGENDE BLOEDING (schedeltrauma, bloeding van de tractus digestivus, buiktrauma, bloeding met bedreiging van de luchtweg)||LICHT SCHEDELTRAUMA ( Val van <50 cm hoogte, lichte klap tegen het hoofd)||MATIG ERNSTIG SCHEDELTRAUMA ( Val van >50 cm hoogte/trap, forse klap tegen het hoofd)||ERNSTIG SCHEDELTRAUMA (Commotio of contusio cerebri)||INTRACRANIELE BLOEDING||Substitutiebehandeling bij ingrepen bij matig ernstige tot ernstige hemofilie||Profylaxe bloedingen", ,x
162647,B02BD04,ANTIHAEMORRHAGICA,VITAMINE K EN OVERIGE HAEMOSTATICA,eftrenonacog-alfa,ALPROLIX 1000 IE  INJPDR + SOLVENS 5ML + TOEBEHOREN,EFTRENONACOG ALF 1000IE INJ,poeder voor injectievloeistof,iv,1000,IE/stuk,1000,IE,"LICHTE BLOEDING (beginnende haemarthros, neus- en tandvleesbloedingen, hematurie)||ERNSTIGE BLOEDING (Ernstige gewrichtsbloeding met bewegingsbeperking, spierbloedingen in boven- en onderarmen, kuit en m.iliopsas en ernstig trauma zonder manifeste bloeding)||LEVENSBEDREIGENDE BLOEDING (schedeltrauma, bloeding van de tractus digestivus, buiktrauma, bloeding met bedreiging van de luchtweg)||LICHT SCHEDELTRAUMA ( Val van <50 cm hoogte, lichte klap tegen het hoofd)||MATIG ERNSTIG SCHEDELTRAUMA ( Val van >50 cm hoogte/trap, forse klap tegen het hoofd)||ERNSTIG SCHEDELTRAUMA (Commotio of contusio cerebri)||INTRACRANIELE BLOEDING||Substitutiebehandeling bij ingrepen bij matig ernstige tot ernstige hemofilie||Profylaxe bloedingen", ,x
162655,B02BD04,ANTIHAEMORRHAGICA,VITAMINE K EN OVERIGE HAEMOSTATICA,eftrenonacog-alfa,ALPROLIX 2000 IE INJPDR + SOLVENS 5ML + TOEBEHOREN,EFTRENONACOG ALF 2000IE INJ,poeder voor injectievloeistof,iv,2000,IE/stuk,2000,IE,"LICHTE BLOEDING (beginnende haemarthros, neus- en tandvleesbloedingen, hematurie)||ERNSTIGE BLOEDING (Ernstige gewrichtsbloeding met bewegingsbeperking, spierbloedingen in boven- en onderarmen, kuit en m.iliopsas en ernstig trauma zonder manifeste bloeding)||LEVENSBEDREIGENDE BLOEDING (schedeltrauma, bloeding van de tractus digestivus, buiktrauma, bloeding met bedreiging van de luchtweg)||LICHT SCHEDELTRAUMA ( Val van <50 cm hoogte, lichte klap tegen het hoofd)||MATIG ERNSTIG SCHEDELTRAUMA ( Val van >50 cm hoogte/trap, forse klap tegen het hoofd)||ERNSTIG SCHEDELTRAUMA (Commotio of contusio cerebri)||INTRACRANIELE BLOEDING||Substitutiebehandeling bij ingrepen bij matig ernstige tot ernstige hemofilie||Profylaxe bloedingen", ,x
133949,B02BX05,ANTIHAEMORRHAGICA,VITAMINE K EN OVERIGE HAEMOSTATICA,eltrombopag,REVOLADE 25  MG TABLET,ELTROMBOPAG 25MG TABLET,tablet,or,25,mg/stuk,25,mg,Chronische refractaire immuun (idiopathische) trombocytopenische purpura (ITP) met een ernstige verhoogde bloedingsneiging en refractrair voor andere behandelingen, ,x
106461,S01GX06,MIDDELEN VOOR OOGHEELKUNDIG GEBRUIK,DECONGESTIVA EN ALLERGIEMIDDELEN,emedastine,EMADINE 0.05 % OOGDRUPPELS 5ML,"EMEDASTINE 0,5MG/ML OOGDRUP",oogdruppels,oog,0.5,mg/ml,1,dr,"Allergische conjunctivitis, conjunctivitis vernalis", ,x
121096,J05AF09,ANTIVIRALE MIDDELEN VOOR SYSTEMISCH GEBRUIK,DIRECT WERKENDE ANTIVIRALE MIDDELEN,emtricitabine,EMTRIVA 200MG CAPSULE,EMTRICITABINE 200MG CAPSULE,capsule,or,200,mg/stuk,200,mg,HIV, ,x
