Generic,Shape,Route,Indication,Specialty,Gender,MinAgeMo,MaxAgeMo,MinWghtKg,MaxWghtKg,MinGestDays,MaxGestDays,MinPMAge,MaxPMAge,Frequencies,Unit,NormDose,MinDose,MaxDose,AbsMaxDose,MaxPerDose,DosePerKg,DosePerM2
benzylpenicilline,poeder voor injectievloeistof,iv,"infecties, sepsis",,,1,240,,,,,,,4 x / dag||5 x / dag||6 x / dag,IE,,100000,400000,24000000,,x,
benzylpenicilline,poeder voor injectievloeistof,iv,lyme meningitis,,,,,,,,,,,,IE,,,,,,,
benzylpenicilline,poeder voor injectievloeistof,iv,meningitis,,,,,,,,,,,,IE,,,,,,,
benzylpenicilline,poeder voor injectievloeistof,iv,meningitis,,,,0.233333333,,2,,,,,2 x / dag,IE,100000,,110000,,,x,
benzylpenicilline,poeder voor injectievloeistof,iv,meningitis,,,,0.233333333,2,,,,,,3 x / dag,IE,150000,,165000,,,x,
benzylpenicilline,poeder voor injectievloeistof,iv,meningitis,,,0.233333333,1,,2,,,,,3 x / dag,IE,150000,,165000,,,x,
benzylpenicilline,poeder voor injectievloeistof,iv,meningitis,,,0.233333333,1,2,,,,,,4 x / dag,IE,200000,,220000,,,x,
benzylpenicilline,poeder voor injectievloeistof,iv,meningitis,,,1,240,,,,,,,4 x / dag||5 x / dag||6 x / dag,IE,,250000,400000,12000000,,x,
benzylpenicilline,poeder voor suspensie voor injectie,im,profylaxe infectie gabhs,,,,,,,,,,,,IE,,,,,,,
benzylpenicilline,poeder voor injectievloeistof,iv,vroege neuroborreliose,,,,,,,,,,,,IE,,,,,,,
benzylpenicilline,poeder voor injectievloeistof,iv,vroege neuroborreliose,,,,108,,,,,,,6 x / dag,IE,,200000,400000,18000000,,x,
benzylpenicilline,poeder voor injectievloeistof,iv,vroege neuroborreliose,,,108,,,,,,,,6 x / dag,IE,,12000000,20000000,20000000,,,
betamethason,creme,cutaan,constitutioneel eczeem,,,,,,,,,,,,keer,,,,,,,
betamethason,creme,cutaan,constitutioneel eczeem,,,12,240,,,,,,,1 x / dag||2 x / dag,keer,1,,2,2,1,,
betamethason,emulsie voor cutaan gebruik,cutaan,constitutioneel eczeem,,,,,,,,,,,,keer,,,,,,,
betamethason,emulsie voor cutaan gebruik,cutaan,constitutioneel eczeem,,,12,240,,,,,,,1 x / dag||2 x / dag,keer,1,,2,2,1,,
betamethason,gel,cutaan,constitutioneel eczeem,,,,,,,,,,,,keer,,,,,,,
betamethason,gel,cutaan,constitutioneel eczeem,,,12,240,,,,,,,1 x / dag||2 x / dag,keer,1,,2,2,1,,
betamethason,oplossing voor cutaan gebruik,cutaan,constitutioneel eczeem,,,,,,,,,,,,keer,,,,,,,
betamethason,oplossing voor cutaan gebruik,cutaan,constitutioneel eczeem,,,12,240,,,,,,,1 x / dag||2 x / dag,keer,1,,2,2,1,,
betamethason,zalf,cutaan,constitutioneel eczeem,,,,,,,,,,,,keer,,,,,,,
betamethason,zalf,cutaan,constitutioneel eczeem,,,12,240,,,,,,,1 x / dag||2 x / dag,keer,1,,2,2,1,,
betamethason,creme,cutaan,phimosis,,,,,,,,,,,,keer,,,,,,,
betamethason,creme,cutaan,phimosis,,,24,168,,,,,,,2 x / dag,keer,2,,2,2,1,,
betamethason,emulsie voor cutaan gebruik,cutaan,phimosis,,,,,,,,,,,,keer,,,,,,,
betamethason,emulsie voor cutaan gebruik,cutaan,phimosis,,,24,168,,,,,,,2 x / dag,keer,2,,2,2,1,,
betamethason,gel,cutaan,phimosis,,,,,,,,,,,,keer,,,,,,,
betamethason,gel,cutaan,phimosis,,,24,168,,,,,,,2 x / dag,keer,2,,2,2,1,,
betamethason,oplossing voor cutaan gebruik,cutaan,phimosis,,,,,,,,,,,,keer,,,,,,,
betamethason,oplossing voor cutaan gebruik,cutaan,phimosis,,,24,168,,,,,,,2 x / dag,keer,2,,2,2,1,,
betamethason,zalf,cutaan,phimosis,,,,,,,,,,,,keer,,,,,,,
betamethason,zalf,cutaan,phimosis,,,24,168,,,,,,,2 x / dag,keer,2,,2,2,1,,
bimatoprost,oogdruppels,oog,glaucoom,,,,,,,,,,,,dr,,,,,,,
bimatoprost,oogdruppels,oog,glaucoom,,,,240,,,,,,,antenoctum||1 x / dag,dr,,,1,,1,,
biotine,capsule,or,biotidinidase deficientie,,,,,,,,,,,,mg,,,,,,,
biotine,capsule,or,Biotidinidase deficientie,,,,240,,,,,,,3 x / dag,mg,,10,20,,,,
biotine,capsule,or,holocarboxylase deficientie,,,,,,,,,,,,mg,,,,,,,
biotine,capsule,or,Holocarboxylase deficientie,,,,240,,,,,,,3 x / dag,mg,,10,40,,,,
biotine,capsule,or,metabole ziekte,,,,,,,,,,,,mg,,,,,,,
biotine,capsule,or,metabole ziekte,,,,240,,,,,,,3 x / dag,mg,,10,15,,,,
biperideen,injectievloeistof,im,"extrapyramidale verschijnselen agv geneesmiddelen (bijv. haloperidol, metoclopramide, alizapride)",,,,,,,,,,,,mg,,,,,,,
biperideen,injectievloeistof,iv,"extrapyramidale verschijnselen agv geneesmiddelen (bijv. haloperidol, metoclopramide, alizapride)",,,,,,,,,,,,mg,,,,,,,
biperideen,tablet,or,"extrapyramidale verschijnselen agv geneesmiddelen (bijv. haloperidol, metoclopramide, alizapride)",,,,,,,,,,,,mg,,,,,,,
biperideen,tablet,or,"extrapyramidale verschijnselen agv geneesmiddelen (bijv. haloperidol, metoclopramide, alizapride)",,,36,240,,,,,,,1 x / dag||2 x / dag||3 x / dag,mg,,1,6,6,2,,
bisACOdyl,maagsapresistente tablet,or,lediging van de darmen,,,,,,,,,,,,mg,,,,,,,
bisACOdyl,zetpil,rect,lediging van de darmen,,,,,,,,,,,,mg,,,,,,,
bisACOdyl,maagsapresistente tablet,or,obstipatie,,,,,,,,,,,,mg,,,,,,,
bisACOdyl,maagsapresistente tablet,or,obstipatie,,,24,132,,,,,,,antenoctum||1 x / dag,mg,,,,5,,,
bisACOdyl,maagsapresistente tablet,or,obstipatie,,,132,,,,,,,,antenoctum||1 x / dag,mg,,,,10,,,
bisACOdyl,zetpil,rect,obstipatie,,,,,,,,,,,,mg,,,,,,,
bisACOdyl,zetpil,rect,obstipatie,,,24,132,,,,,,,antenoctum||1 x / dag,mg,,,,5,,,
bisACOdyl,zetpil,rect,obstipatie,,,132,,,,,,,,antenoctum||1 x / dag,mg,,,,10,,,
bleomycine,poeder voor injectievloeistof,art,oncologische aandoeningen,,,,,,,,,,,,E,,,,,,,
bleomycine,poeder voor injectievloeistof,im,oncologische aandoeningen,,,,,,,,,,,,E,,,,,,,
bleomycine,poeder voor injectievloeistof,intratum,oncologische aandoeningen,,,,,,,,,,,,E,,,,,,,
bleomycine,poeder voor injectievloeistof,iv,oncologische aandoeningen,,,,,,,,,,,,E,,,,,,,
bleomycine,poeder voor injectievloeistof,periton,oncologische aandoeningen,,,,,,,,,,,,E,,,,,,,
bleomycine,poeder voor injectievloeistof,pleura,oncologische aandoeningen,,,,,,,,,,,,E,,,,,,,
bleomycine,poeder voor injectievloeistof,sc,oncologische aandoeningen,,,,,,,,,,,,E,,,,,,,
bof+mazelen+rubellavaccin,poeder voor suspensie voor injectie,im,vaccinatie bof-mazelen-rode hond (bmr),,,,,,,,,,,,CCID50,,,,,,,
bof+mazelen+rubellavaccin,poeder voor suspensie voor injectie,sc,vaccinatie bof-mazelen-rode hond (bmr),,,,,,,,,,,,CCID50,,,,,,,
bortezomib,poeder voor injectievloeistof,iv,acute alloantistof gemedieerde nierrejectie (acute amr),,,,,,,,,,,,mg,,,,,,,
bortezomib,poeder voor injectievloeistof,sc,acute alloantistof gemedieerde nierrejectie (acute amr),,,,,,,,,,,,mg,,,,,,,
bortezomib,poeder voor injectievloeistof,iv,recidiverende/refractaire all,,,,,,,,,,,,mg,,,,,,,
bortezomib,poeder voor injectievloeistof,sc,recidiverende/refractaire all,,,,,,,,,,,,mg,,,,,,,
bosentan,dispergeerbare tablet,or,pulmonale arteriele hypertensie,,,,,,,,,,,,mg,,,,,,,
bosentan,dispergeerbare tablet,or,pulmonale arteriele hypertensie,,,1,,,,,,,,2 x / dag,mg,4,,,250,,x,
bosentan,filmomhulde tablet,or,pulmonale arteriele hypertensie,,,,,,,,,,,,mg,,,,,,,
bosentan,filmomhulde tablet,or,pulmonale arteriele hypertensie,,,1,,,,,,,,2 x / dag,mg,4,,,250,,x,
botuline-a-toxine,poeder voor injectievloeistof,im,blefarospasmen,,,,,,,,,,,,E,,,,,,,
botuline-a-toxine,poeder voor injectievloeistof,intracut,blefarospasmen,,,,,,,,,,,,E,,,,,,,
botuline-a-toxine,poeder voor injectievloeistof,im,cervicale dystonie (torticollis spastica),,,,,,,,,,,,E,,,,,,,
botuline-a-toxine,poeder voor injectievloeistof,intracut,cervicale dystonie (torticollis spastica),,,,,,,,,,,,E,,,,,,,
botuline-a-toxine,poeder voor injectievloeistof,im,focale spasticiteit: diplegie,,,,,,,,,,,,E,,,,,,,
botuline-a-toxine,poeder voor injectievloeistof,intracut,focale spasticiteit: diplegie,,,,,,,,,,,,E,,,,,,,
botuline-a-toxine,poeder voor injectievloeistof,im,focale spasticiteit: hemiplegie,,,,,,,,,,,,E,,,,,,,
botuline-a-toxine,poeder voor injectievloeistof,intracut,focale spasticiteit: hemiplegie,,,,,,,,,,,,E,,,,,,,
botuline-a-toxine,poeder voor injectievloeistof,im,hemifacialisspasmen,,,,,,,,,,,,E,,,,,,,
botuline-a-toxine,poeder voor injectievloeistof,intracut,hemifacialisspasmen,,,,,,,,,,,,E,,,,,,,
botuline-a-toxine,poeder voor injectievloeistof,im,hyperhidrose van de oksels,,,,,,,,,,,,E,,,,,,,
botuline-a-toxine,poeder voor injectievloeistof,intracut,hyperhidrose van de oksels,,,,,,,,,,,,E,,,,,,,
broomhexine,drank,or,productieve hoest,,,,,,,,,,,,mg,,,,,,,
broomhexine,drank,or,productieve hoest,,,24,,,,,,,,3 x / dag,mg,,0.6,1.2,48,,x,
broomhexine,druppels voor oraal gebruik,or,productieve hoest,,,,,,,,,,,,mg,,,,,,,
broomhexine,druppels voor oraal gebruik,or,productieve hoest,,,24,,,,,,,,3 x / dag,mg,,0.6,1.2,48,,x,
broomhexine,tablet,or,productieve hoest,,,,,,,,,,,,mg,,,,,,,
broomhexine,tablet,or,productieve hoest,,,24,,,,,,,,3 x / dag,mg,,0.6,1.2,48,,x,
budesonide,inhalatiepoeder voor nasaal gebruik,nasaal,allergische rhinitis,,,,,,,,,,,,mg,,,,,,,
budesonide,inhalatiepoeder voor nasaal gebruik,nasaal,allergische rhinitis,,,72,240,,,,,,,1 x / dag,mg,,,,0.2,,,
budesonide,neusspray,nasaal,allergische rhinitis,,,,,,,,,,,,mcg,,,,,,,
budesonide,neusspray,nasaal,allergische rhinitis,,,72,240,,,,,,,1 x / dag,mcg,,,,200,,,
budesonide,aerosol,inh,"astma, verminderen bronchiale hyperreactiviteit",,,,,,,,,,,,mcg,,,,,,,
budesonide,aerosol,inh,"astma, verminderen bronchiale hyperreactiviteit",,,,240,,,,,,,2 x / dag,mcg,,,,400,,,
budesonide,inhalatiepoeder,inh,"astma, verminderen bronchiale hyperreactiviteit",,,,,,,,,,,,mcg,,,,,,,
budesonide,inhalatiepoeder,inh,"astma, verminderen bronchiale hyperreactiviteit",,,,240,,,,,,,2 x / dag,mcg,,,,400,,,
budesonide,vernevelvloeistof,inh,"astma, verminderen bronchiale hyperreactiviteit",,,,,,,,,,,,mg,,,,,,,
budesonide,vernevelvloeistof,inh,"astma, verminderen bronchiale hyperreactiviteit",,,,240,,,,,,,2 x / dag,mg,,,,400,,,
budesonide,aerosol,inh,laryngitis subglottica (pseudokroep),,,,,,,,,,,,mcg,,,,,,,
budesonide,inhalatiepoeder,inh,laryngitis subglottica (pseudokroep),,,,,,,,,,,,mcg,,,,,,,
budesonide,vernevelvloeistof,inh,laryngitis subglottica (pseudokroep),,,,,,,,,,,,mg,,,,,,,
budesonide,capsule maagsapresistent,or,ziekte van crohn,,,,,,,,,,,,mg,,,,,,,
budesonide,capsule maagsapresistent,or,ziekte van crohn,,,72,240,,,,,,,1 x / dag||2 x / dag||3 x / dag,mg,,,,9,,,
budesonide,capsule met gereguleerde afgifte,or,ziekte van crohn,,,,,,,,,,,,mg,,,,,,,
budesonide,capsule met gereguleerde afgifte,or,ziekte van crohn,,,72,240,,,,,,,1 x / dag,mg,,,,9,,,
budesonide,tablet voor klysma,rect,ziekte van crohn,,,,,,,,,,,,mg,,,,,,,
budesonide,tablet voor klysma,rect,ziekte van crohn,,,120,240,,,,,,,1 x / dag||2 x / dag,mg,,,,4.6,,,
budesonide+formoterol,aerosol,inh,astma onderhoudsbehandeling,,,,,,,,,,,,mcg,,,,,,,
budesonide+formoterol,aerosol,inh,astma onderhoudsbehandeling,,,,,72,144,,,,,2 x / dag,mcg,200,,200,,,,
budesonide+formoterol,aerosol,inh,astma onderhoudsbehandeling,,,,,144,240,,,,,2 x / dag,mcg,,200,800,,,,
budesonide+formoterol,inhalatiepoeder,inh,astma onderhoudsbehandeling,,,,,,,,,,,,mcg,,,,,,,
budesonide+formoterol,inhalatiepoeder,inh,astma onderhoudsbehandeling,,,,,72,144,,,,,2 x / dag,mcg,200,,200,,,,
budesonide+formoterol,inhalatiepoeder,inh,astma onderhoudsbehandeling,,,,,144,240,,,,,2 x / dag,mcg,,200,800,,,,
bumetanide,injectievloeistof,im,diureticum bij oedeem,,,,,,,,,,,,mg,,,,,,,
bumetanide,injectievloeistof,iv,diureticum bij oedeem,,,,,,,,,,,,mg,,,,,,,
bumetanide,injectievloeistof,iv,diureticum bij oedeem,,,1,240,,,,,,,1 x / dag||2 x / dag||3 x / dag||4 x / dag,mg,,0.01,0.8,10,,x,
bumetanide,tablet,or,diureticum bij oedeem,,,,,,,,,,,,mg,,,,,,,
bumetanide,tablet,or,diureticum bij oedeem,,,1,240,,,,,,,1 x / dag||2 x / dag||3 x / dag||4 x / dag,mg,,0.01,0.8,10,,x,
bupivacaine,injectievloeistof,epidur,"pijnbestrijding, lokaal",,,,,,,,,,,,mg,,,,,,,
bupivacaine,injectievloeistof,intracut,"pijnbestrijding, lokaal",,,,,,,,,,,,mg,,,,,,,
bupivacaine,injectievloeistof,intrathec,"pijnbestrijding, lokaal",,,,,,,,,,,,mg,,,,,,,
bupivacaine,injectievloeistof,lokaal,"pijnbestrijding, lokaal",,,,,,,,,,,,mg,,,,,,,
bupivacaine,injectievloeistof,perineur,"pijnbestrijding, lokaal",,,,,,,,,,,,mg,,,,,,,
bupivacaine,injectievloeistof,epidur,pijnstilling: epiduraal (caudaal),,,,,,,,,,,,mg,,,,,,,
bupivacaine,injectievloeistof,intracut,pijnstilling: epiduraal (caudaal),,,,,,,,,,,,mg,,,,,,,
bupivacaine,injectievloeistof,intrathec,pijnstilling: epiduraal (caudaal),,,,,,,,,,,,mg,,,,,,,
bupivacaine,injectievloeistof,lokaal,pijnstilling: epiduraal (caudaal),,,,,,,,,,,,mg,,,,,,,
bupivacaine,injectievloeistof,perineur,pijnstilling: epiduraal (caudaal),,,,,,,,,,,,mg,,,,,,,
bupivacaine+glucose,injectievloeistof,intrathec,"pijnbestrijding, lokaal",,,,,,,,,,,,mg,,,,,,,
bupivacaine+glucose,injectievloeistof,intrathec,pijnstilling: epiduraal (caudaal),,,,,,,,,,,,mg,,,,,,,
busulfan,concentraat voor oplossing voor infusie,iv,oncologische aandoeningen,,,,,,,,,,,,mg,,,,,,,
busulfan,tablet,or,oncologische aandoeningen,,,,,,,,,,,,mg,,,,,,,
busulfan,tablet,or,oncologische aandoeningen,,,,,,9,,,,,4 x / dag,mg,4,,4.4,,,x,
busulfan,tablet,or,oncologische aandoeningen,,,,,9,16,,,,,4 x / dag,mg,4.8,,5.28,,,x,
busulfan,tablet,or,oncologische aandoeningen,,,,,16,23,,,,,4 x / dag,mg,4.4,,4.84,,,x,
busulfan,tablet,or,oncologische aandoeningen,,,,,23,34,,,,,4 x / dag,mg,3.8,,4.18,,,x,
busulfan,tablet,or,oncologische aandoeningen,,,,,34,,,,,,4 x / dag,mg,3.2,,3.52,,,x,
calcitriol,capsule,or,rachitis en hypoparathyreoidie,,,,,,,,,,,,mcg,,,,,,,
calcitriol,capsule,or,rachitis en hypoparathyreoidie,,,,240,,,,,,,2 x / dag,mcg,,,,2,,x,
calciumcarbonaat,bruistablet,or,calciumdeficientie,,,,,,,,,,,,gr,,,,,,,
calciumcarbonaat,bruistablet,or,calciumdeficientie,,,1,240,,,,,,,3 x / dag,gr,,0.05,0.1,12,,x,
calciumcarbonaat,kauwtablet,or,calciumdeficientie,,,,,,,,,,,,gr,,,,,,,
calciumcarbonaat,kauwtablet,or,calciumdeficientie,,,1,240,,,,,,,3 x / dag,gr,,0.05,0.1,,,x,
calciumcarbonaat,tablet,or,calciumdeficientie,,,,,,,,,,,,mg,,,,,,,
calciumcarbonaat,tablet,or,calciumdeficientie,,,1,240,,,,,,,3 x / dag,mg,,50,100,12000,,x,
calciumcarbonaat,bruistablet,or,hyperfosfatemie,,,,,,,,,,,,gr,,,,,,,
calciumcarbonaat,bruistablet,or,hyperfosfatemie,,,1,240,,,,,,,3 x / dag,gr,,0.05,0.1,12,,x,
calciumcarbonaat,kauwtablet,or,hyperfosfatemie,,,,,,,,,,,,gr,,,,,,,
calciumcarbonaat,kauwtablet,or,hyperfosfatemie,,,1,240,,,,,,,3 x / dag,gr,,0.05,0.1,12,,x,
calciumcarbonaat,tablet,or,hyperfosfatemie,,,,,,,,,,,,mg,,,,,,,
calciumcarbonaat,tablet,or,hyperfosfatemie,,,1,240,,,,,,,3 x / dag,mg,,50,100,12000,,x,
calciumcarbonaat+colecalciferol,bruisgranulaat,or,suppletie,,,,,,,,,,,,stuk,,,,,,,
calciumcarbonaat+colecalciferol,kauwtablet,or,suppletie,,,,,,,,,,,,stuk,,,,,,,
calciumgluconaat,injectievloeistof,im,acute hypocalciemie; convulsies agv hyperfosfatemie/hypocalciemie,,,,,,,,,,,,mmol,,,,,,,
calciumgluconaat,injectievloeistof,iv,acute hypocalciemie; convulsies agv hyperfosfatemie/hypocalciemie,,,,,,,,,,,,mmol,,,,,,,
calciumgluconaat,kauwtablet,or,acute hypocalciemie; convulsies agv hyperfosfatemie/hypocalciemie,,,,,,,,,,,,mg,,,,,,,
calciumgluconaat,injectievloeistof,im,calciumdeficientie,,,,,,,,,,,,mmol,,,,,,,
calciumgluconaat,injectievloeistof,iv,calciumdeficientie,,,,,,,,,,,,mmol,,,,,,,
calciumgluconaat,kauwtablet,or,calciumdeficientie,,,,,,,,,,,,mg,,,,,,,
calciumgluconaat,kauwtablet,or,Calciumdeficientie,,,24,240,,,,,,,2 x / dag||3 x / dag,mg,500,,500,500,,,
calciumgluconaat,injectievloeistof,im,onderhoudsbehoefte calcium in tpv,,,,,,,,,,,,mmol,,,,,,,
calciumgluconaat,injectievloeistof,iv,onderhoudsbehoefte calcium in tpv,,,,,,,,,,,,mmol,,,,,,,
calciumgluconaat,kauwtablet,or,onderhoudsbehoefte calcium in tpv,,,,,,,,,,,,mg,,,,,,,
calciumlactaat,drank,or,hypocalciemie,,,,,,,,,,,,mmol,,,,,,,
canakinumab,poeder voor injectievloeistof,sc,cryopyrin-associated periodic syndromes,,,,,,,,,,,,mg,,,,,,,
canakinumab,poeder voor injectievloeistof,sc,systemische juveniele idiopathische arthritis (s.j.i.a.),,,,,,,,,,,,mg,,,,,,,
canakinumab,poeder voor injectievloeistof,sc,systemische juveniele idiopathische arthritis (s.j.i.a.),,,24,240,,,,,,,1 x / 4 weken,mg,4,,,300,300,x,
candesartan,tablet,or,hypertensie,,,,,,,,,,,,mg,,,,,,,
candesartan,tablet,or,hypertensie,,,72,,,50,,,,,1 x / dag,mg,,,,8,,x,
candesartan,tablet,or,hypertensie,,,72,,50,,,,,,1 x / dag,mg,,,,16,,x,
captopril,drank,or,"decompensatio cordis, hypertensie",,,,,,,,,,,,mg,,,,,,,
captopril,drank,or,"decompensatio cordis, hypertensie",,,,1,,,259,,,,3 x / dag,mg,,,,2,,x,
captopril,drank,or,"decompensatio cordis, hypertensie",,,1,12,,,,,,,3 x / dag,mg,,,,4,,x,
captopril,drank,or,"decompensatio cordis, hypertensie",,,12,24,,,,,,,3 x / dag,mg,,,,6,,x,
captopril,tablet,or,"decompensatio cordis, hypertensie",,,,,,,,,,,,mg,,,,,,,
captopril,tablet,or,"decompensatio cordis, hypertensie",,,12,24,,,,,,,3 x / dag,mg,,,,6,,x,
captopril,tablet,or,"decompensatio cordis, hypertensie",,,1,12,,,,,,,3 x / dag,mg,,,,4,,x,
captopril,tablet,or,"decompensatio cordis, hypertensie",,,,1,,,259,,,,3 x / dag,mg,,,,2,,x,
carBAMazepine,suspensie voor oraal gebruik,or,bipolaire stoornis,,,,,,,,,,,,mg,,,,,,,
carBAMazepine,suspensie voor oraal gebruik,or,bipolaire stoornis,,,,,40,,,,,,2 x / dag||3 x / dag,mg,,,,1200,,,
carBAMazepine,tablet,or,bipolaire stoornis,,,,,,,,,,,,mg,,,,,,,
carBAMazepine,tablet,or,bipolaire stoornis,,,,,40,,,,,,2 x / dag||3 x / dag,mg,,,,1200,,,
carBAMazepine,tablet met gereguleerde afgifte,or,bipolaire stoornis,,,,,,,,,,,,mg,,,,,,,
carBAMazepine,zetpil,rect,bipolaire stoornis,,,,,,,,,,,,mg,,,,,,,
carBAMazepine,suspensie voor oraal gebruik,or,"epilepsie, primair gegeneraliseerde en partiele aanvallen",,,,,,,,,,,,mg,,,,,,,
carBAMazepine,suspensie voor oraal gebruik,or,"epilepsie, primair gegeneraliseerde en partiele aanvallen",,,,1,,,,259,,,2 x / dag,mg,,,15,,,x,
carBAMazepine,suspensie voor oraal gebruik,or,"epilepsie, primair gegeneraliseerde en partiele aanvallen",,,,1,,,259,,,,2 x / dag,mg,,,15,,,x,
carBAMazepine,suspensie voor oraal gebruik,or,"epilepsie, primair gegeneraliseerde en partiele aanvallen",,,1,60,,,,,,,2 x / dag||3 x / dag,mg,,10,35,,,x,
carBAMazepine,suspensie voor oraal gebruik,or,"epilepsie, primair gegeneraliseerde en partiele aanvallen",,,60,144,,,,,,,2 x / dag||3 x / dag,mg,,10,25,1000,,x,
carBAMazepine,suspensie voor oraal gebruik,or,"epilepsie, primair gegeneraliseerde en partiele aanvallen",,,144,192,,,,,,,2 x / dag||3 x / dag||4 x / dag,mg,,,1000,,,,
carBAMazepine,suspensie voor oraal gebruik,or,"epilepsie, primair gegeneraliseerde en partiele aanvallen",,,192,240,,,,,,,2 x / dag||3 x / dag||4 x / dag,mg,,,1200,,,,
carBAMazepine,tablet,or,"epilepsie, primair gegeneraliseerde en partiele aanvallen",,,,,,,,,,,,mg,,,,,,,
carBAMazepine,tablet,or,"epilepsie, primair gegeneraliseerde en partiele aanvallen",,,,1,,,,259,,,2 x / dag,mg,,,15,,,x,
carBAMazepine,tablet,or,"epilepsie, primair gegeneraliseerde en partiele aanvallen",,,1,60,,,,,,,2 x / dag||3 x / dag,mg,,10,35,,,x,
carBAMazepine,tablet,or,"epilepsie, primair gegeneraliseerde en partiele aanvallen",,,60,144,,,,,,,2 x / dag||3 x / dag,mg,,10,25,1000,,x,
carBAMazepine,tablet,or,"epilepsie, primair gegeneraliseerde en partiele aanvallen",,,144,192,,,,,,,2 x / dag||3 x / dag||4 x / dag,mg,,,1000,,,,
carBAMazepine,tablet,or,"epilepsie, primair gegeneraliseerde en partiele aanvallen",,,192,240,,,,,,,2 x / dag||3 x / dag||4 x / dag,mg,,,1200,,,,
carBAMazepine,tablet met gereguleerde afgifte,or,"epilepsie, primair gegeneraliseerde en partiele aanvallen",,,,,,,,,,,,mg,,,,,,,
carBAMazepine,tablet met gereguleerde afgifte,or,"epilepsie, primair gegeneraliseerde en partiele aanvallen",,,,1,,,259,,,,2 x / dag,mg,,,15,,,x,
carBAMazepine,tablet met gereguleerde afgifte,or,"epilepsie, primair gegeneraliseerde en partiele aanvallen",,,144,192,,,,,,,2 x / dag,mg,,,1000,,,,
carBAMazepine,tablet met gereguleerde afgifte,or,"epilepsie, primair gegeneraliseerde en partiele aanvallen",,,192,240,,,,,,,2 x / dag,mg,,,1200,,,,
carBAMazepine,tablet met gereguleerde afgifte,or,"epilepsie, primair gegeneraliseerde en partiele aanvallen",,,60,144,,,,,,,2 x / dag,mg,,10,25,1000,,x,
carBAMazepine,zetpil,rect,"epilepsie, primair gegeneraliseerde en partiele aanvallen",,,,,,,,,,,,mg,,,,,,,
carBAMazepine,zetpil,rect,"epilepsie, primair gegeneraliseerde en partiele aanvallen",,,,60,,,,,,,2 x / dag||3 x / dag,mg,25,,43.75,,,x,
carBAMazepine,zetpil,rect,"epilepsie, primair gegeneraliseerde en partiele aanvallen",,,60,144,,,,,,,2 x / dag||3 x / dag,mg,,12.5,31.25,1250,,x,
carBAMazepine,zetpil,rect,"epilepsie, primair gegeneraliseerde en partiele aanvallen",,,144,192,,,,,,,2 x / dag,mg,,,,1250,,,
carBAMazepine,zetpil,rect,"epilepsie, primair gegeneraliseerde en partiele aanvallen",,,192,240,,,,,,,2 x / dag,mg,,,,1500,,,
carBAMazepine,suspensie voor oraal gebruik,or,neuropathische pijn,,,,,,,,,,,,mg,,,,,,,
carBAMazepine,suspensie voor oraal gebruik,or,neuropathische pijn,,,1,240,,,,,,,2 x / dag||3 x / dag||4 x / dag,mg,,5,10,,,x,
carBAMazepine,tablet,or,neuropathische pijn,,,,,,,,,,,,mg,,,,,,,
carBAMazepine,tablet,or,neuropathische pijn,,,1,240,,,,,,,2 x / dag||3 x / dag||4 x / dag,mg,,5,10,,,x,
carBAMazepine,tablet met gereguleerde afgifte,or,neuropathische pijn,,,,,,,,,,,,mg,,,,,,,
carBAMazepine,zetpil,rect,neuropathische pijn,,,,,,,,,,,,mg,,,,,,,
carbasalaatcalcium,bruistablet,or,trombocytenaggregatie remming,,,,,,,,,,,,mg,,,,,,,
carbasalaatcalcium,bruistablet,or,trombocytenaggregatie remming,,,1,240,,,,,,,1 x / dag,mg,,,,38,,,
carbasalaatcalcium,poeder voor oraal gebruik,or,trombocytenaggregatie remming,,,,,,,,,,,,mg,,,,,,,
carbasalaatcalcium,poeder voor oraal gebruik,or,trombocytenaggregatie remming,,,1,240,,,,,,,1 x / dag,mg,,,,38,,,
carbasalaatcalcium,bruistablet,or,ziekte van kawasaki,,,,,,,,,,,,mg,,,,,,,
carbasalaatcalcium,bruistablet,or,ziekte van kawasaki,,,1,240,,,,,,,1 x / dag,mg,,3,5,,,x,
carbasalaatcalcium,poeder voor oraal gebruik,or,ziekte van kawasaki,,,,,,,,,,,,mg,,,,,,,
carbasalaatcalcium,poeder voor oraal gebruik,or,ziekte van kawasaki,,,1,240,,,,,,,1 x / dag,mg,,3,5,,,x,
carbomeer,ooggel,oog,verminderde traansecretie/uitdroging,,,,,,,,,,,,keer,,,,,,,
carbomeer,ooggel,oog,verminderde traansecretie/uitdroging,,,,240,,,,,,,4 x / dag,keer,4,,4,4,1,,
cargluminezuur,dispergeerbare tablet,or,"hyperammoniemie, nags, cps",,,,,,,,,,,,mg,,,,,,,
cargluminezuur,dispergeerbare tablet,or,"hyperammoniemie, nags, cps",,,,240,,,,,,,2 x / dag||3 x / dag||4 x / dag,mg,,10,100,,,x,
carmellose,oogdruppels,oog,verminderde traansecretie/uitdroging,,,,,,,,,,,,dr,,,,,,,
carmellose,oogdruppels,oog,verminderde traansecretie/uitdroging,,,,240,,,,,,,2 x / dag||3 x / dag||4 x / dag||5 x / dag||6 x / dag,dr,,2,6,6,1,,
